filename,recommend_1_brand,recommend_1_product,recommend_1_hex,recommend_1_deltaE,recommend_2_brand,recommend_2_product,recommend_2_hex,recommend_2_deltaE,recommend_3_brand,recommend_3_product,recommend_3_hex,recommend_3_deltaE
brown (23).jpg,L'Oréal,Infalliable,e5ad8b,2.19,Maybelline,Fit Me,e4b38e,2.19,Make Up For Ever,Ultra HD,e3b391,2.19
brown (24).jpg,NARS,Velvet Matte,ca8a55,4.13,L'Oréal,Infalliable,c0844e,4.13,MAC,Studio Fix,b9855a,4.13
brown (25).jpg,Make Up For Ever,Ultra HD,c99980,3.03,Maybelline,Fit Me,c7967d,3.03,Maybelline,Fit Me,bd9584,3.03
brown (26).jpg,Make Up For Ever,Ultra HD,d9a586,2.0,L'Oréal,Infalliable,cf9c7d,2.0,Maybelline,Fit Me,d09e7c,2.0
brown (27).jpg,Make Up For Ever,Ultra HD,d19578,4.11,Make Up For Ever,Ultra HD,c78569,4.11,Make Up For Ever,Ultra HD,be8470,4.11
brown (28).jpg,Maybelline,Fit Me,84583f,3.77,Make Up For Ever,Ultra HD,996754,3.77,Make Up For Ever,Ultra HD,9c624a,3.77
brown (29).jpg,Maybelline,Fit Me,c7967d,1.12,Make Up For Ever,Ultra HD,c99980,1.12,Make Up For Ever,Ultra HD,c7977b,1.12
brown (3).jpg,MAC,Studio Fix,a9734e,1.88,L'Oréal,True Match,b07555,1.88,MAC,Studio Fix,a0714d,1.88
brown (30).jpg,MAC,Studio Fix,ae7a50,2.78,MAC,Studio Fix,b27949,2.78,MAC,Studio Fix,b9855a,2.78
brown (31).jpg,Maybelline,Fit Me,e4b38e,2.13,L'Oréal,Infalliable,e5ad8b,2.13,Make Up For Ever,Ultra HD,e3b391,2.13
brown (32).jpg,L'Oréal,True Match,b07555,6.91,Make Up For Ever,Ultra HD,b17862,6.91,L'Oréal,True Match,bc6d4e,6.91
brown (33).jpg,Maybelline,Fit Me Matte,e7b9a2,1.35,L'Oréal,True Match,dcb29a,1.35,Maybelline,Fit Me,eabda6,1.35
