filename,recommend_1_brand,recommend_1_product,recommend_1_hex,recommend_1_deltaE,recommend_2_brand,recommend_2_product,recommend_2_hex,recommend_2_deltaE,recommend_3_brand,recommend_3_product,recommend_3_hex,recommend_3_deltaE
white (71).jpg,L'Oréal,Infalliable,d1a396,4.4,L'Oréal,Infalliable,deb09e,4.4,Maybelline,Fit Me,e1bba7,4.4
white (72).jpg,L'Oréal,Infalliable,d1a396,4.16,L'Oréal,Infalliable,deb09e,4.16,Maybelline,Fit Me,e1bba7,4.16
white (73).jpg,Maybelline,Fit Me,bd9584,9.97,MAC,Studio Fix,dcbca2,9.97,L'Oréal,Infalliable,d1a396,9.97
white (74).jpg,Make Up For Ever,Ultra HD,daad90,1.44,MAC,Studio Fix,d1a88a,1.44,Maybelline,Fit Me Matte,dcb297,1.44
white (75).jpg,Maybelline,Fit Me Matte,d69c74,4.24,L'Oréal,Infalliable,e5ad8b,4.24,Make Up For Ever,Ultra HD,d9a586,4.24
white (76).jpg,MAC,Studio Fix,d0a97b,4.22,NARS,Velvet Matte,e6b685,4.22,MAC,Studio Fix,d1ac7f,4.22
white (77).jpg,L'Oréal,Infalliable,d1a396,3.57,L'Oréal,Infalliable,deb09e,3.57,L'Oréal,True Match,dcb29a,3.57
white (78).jpg,Make Up For Ever,Ultra HD,dcb59c,2.48,L'Oréal,True Match,dcb29a,2.48,Maybelline,Fit Me Matte,dcb297,2.48
white (79).jpg,MAC,Studio Fix,d5b293,1.95,MAC,Studio Fix,d8b593,1.95,MAC,Studio Fix,d1a88a,1.95
white (8).jpg,L'Oréal,Infalliable,d1a396,6.45,L'Oréal,Infalliable,deb09e,6.45,Maybelline,Fit Me,bd9584,6.45
white (80).jpg,Maybelline,Fit Me,bd9584,10.54,L'Oréal,Infalliable,d1a396,10.54,MAC,Studio Fix,dcbca2,10.54
white (81).jpg,L'Oréal,Infalliable,deb09e,3.24,Make Up For Ever,Ultra HD,dcb59c,3.24,L'Oréal,True Match,dcb29a,3.24
white (82).jpg,MAC,Studio Fix,d5b293,2.57,MAC,Studio Fix,d8b593,2.57,MAC,Studio Fix,dbbc9f,2.57
white (83).jpg,L'Oréal,Infalliable,d1a396,7.33,Maybelline,Fit Me,e1bba7,7.33,L'Oréal,Infalliable,deb09e,7.33
white (84).jpg,Make Up For Ever,Ultra HD,dcb59c,5.76,MAC,Studio Fix,dcbca2,5.76,Maybelline,Fit Me,e1bba7,5.76
white (85).jpg,L'Oréal,Infalliable,deb09e,2.85,Make Up For Ever,Ultra HD,dca795,2.85,L'Oréal,True Match,dcb29a,2.85
white (86).jpg,L'Oréal,Infalliable,d1a396,4.26,L'Oréal,Infalliable,deb09e,4.26,L'Oréal,True Match,dcb29a,4.26
white (87).jpg,Maybelline,Fit Me Matte,dcb297,1.05,Make Up For Ever,Ultra HD,dcb59c,1.05,L'Oréal,True Match,dcb29a,1.05
white (88).jpg,Make Up For Ever,Ultra HD,e3b296,1.88,Make Up For Ever,Ultra HD,daad90,1.88,Make Up For Ever,Ultra HD,d4a689,1.88
white (89).jpg,MAC,Studio Fix,d5b293,1.67,MAC,Studio Fix,d8b593,1.67,MAC,Studio Fix,d2ae88,1.67
white (9).jpg,L'Oréal,Infalliable,d1a396,5.51,L'Oréal,Infalliable,deb09e,5.51,Make Up For Ever,Ultra HD,dcb59c,5.51
white (90).jpg,MAC,Studio Fix,dcbca2,6.75,MAC,Studio Fix,dbbc9f,6.75,Make Up For Ever,Ultra HD,dcb59c,6.75
white (91).jpg,Make Up For Ever,Ultra HD,dcb59c,7.07,MAC,Studio Fix,dcbca2,7.07,MAC,Studio Fix,d5b293,7.07
white (92).jpg,MAC,Studio Fix,d5b293,2.06,MAC,Studio Fix,d2ae88,2.06,MAC,Studio Fix,d1a88a,2.06
white (93).jpg,Make Up For Ever,Ultra HD,dcb59c,3.59,L'Oréal,True Match,dcb29a,3.59,MAC,Studio Fix,d1a88a,3.59
white (94).jpg,L'Oréal,Infalliable,d1a396,2.96,L'Oréal,Infalliable,deb09e,2.96,Make Up For Ever,Ultra HD,dca795,2.96
white (95).jpg,L'Oréal,Infalliable,d1a396,8.07,Maybelline,Fit Me,bd9584,8.07,Maybelline,Fit Me,e1bba7,8.07
white (96).jpg,L'Oréal,Infalliable,d1a396,3.68,L'Oréal,Infalliable,deb09e,3.68,L'Oréal,True Match,dcb29a,3.68
white (97).jpg,Make Up For Ever,Ultra HD,dcb59c,3.63,MAC,Studio Fix,dcbca2,3.63,L'Oréal,True Match,dcb29a,3.63
white (98).jpg,Maybelline,Fit Me,bd9584,10.77,MAC,Studio Fix,dcbca2,10.77,L'Oréal,Infalliable,d1a396,10.77
white (99).jpg,Make Up For Ever,Ultra HD,dca795,2.0,L'Oréal,Infalliable,deb09e,2.0,L'Oréal,True Match,dcb29a,2.0
